dbId;date;user;model;parameter;check
2033;1646082058818;Adrian;modelo test;Keynote;Sin rellenar;
3064;1646082058822;Adrian;modelo test;Keynote;Sin rellenar;
2916;1646082058819;Adrian;modelo test;Keynote;Sin rellenar;
2527;1646082058820;Adrian;modelo test;Keynote;Sin rellenar;
2901;1646082058820;Adrian;modelo test;Keynote;Sin rellenar;
2714;1646082058821;Adrian;modelo test;Keynote;Sin rellenar;
2810;1646082058821;Adrian;modelo test;Keynote;Sin rellenar;
3775;1646082058822;Adrian;modelo test;Keynote;Sin rellenar;
2103;1646082058823;Adrian;modelo test;Keynote;Ok;
2589;1646082058823;Adrian;modelo test;Keynote;Ok;
2590;1646082058824;Adrian;modelo test;Keynote;Ok;
2872;1646082058825;Adrian;modelo test;Keynote;Ok;
2179;1646082058826;Adrian;modelo test;Keynote;Ok;
2522;1646082058826;Adrian;modelo test;Keynote;Ok;
2543;1646082058827;Adrian;modelo test;Keynote;Ok;
2588;1646082058827;Adrian;modelo test;Keynote;Ok;
2106;1646082058825;Adrian;modelo test;Keynote;Ok;
4036;1646082058829;Adrian;modelo test;Keynote;Ok;
4045;1646082058829;Adrian;modelo test;Keynote;Ok;
2585;1646082058830;Adrian;modelo test;Keynote;Sin rellenar;
2587;1646082058830;Adrian;modelo test;Keynote;Sin rellenar;
3103;1646082058828;Adrian;modelo test;Keynote;Ok;
2599;1646082058832;Adrian;modelo test;Keynote;Sin rellenar;
2600;1646082058833;Adrian;modelo test;Keynote;Sin rellenar;
2601;1646082058833;Adrian;modelo test;Keynote;Sin rellenar;
2602;1646082058834;Adrian;modelo test;Keynote;Sin rellenar;
4130;1646082058831;Adrian;modelo test;Keynote;Sin rellenar;
2604;1646082058836;Adrian;modelo test;Keynote;Sin rellenar;
2726;1646082058836;Adrian;modelo test;Keynote;Sin rellenar;
2753;1646082058837;Adrian;modelo test;Keynote;Sin rellenar;
2754;1646082058837;Adrian;modelo test;Keynote;Sin rellenar;
2603;1646082058835;Adrian;modelo test;Keynote;Sin rellenar;
4348;1646082058838;Adrian;modelo test;Keynote;Sin rellenar;
4352;1646082058839;Adrian;modelo test;Keynote;Sin rellenar;
4353;1646082058839;Adrian;modelo test;Keynote;Sin rellenar;
4938;1646082058840;Adrian;modelo test;Keynote;Sin rellenar;
3869;1646082058838;Adrian;modelo test;Keynote;Sin rellenar;
2686;1646082058841;Adrian;modelo test;Keynote;Ok;
2692;1646082058841;Adrian;modelo test;Keynote;Ok;
3029;1646082058842;Adrian;modelo test;Keynote;Ok;
3035;1646082058842;Adrian;modelo test;Keynote;Ok;
2683;1646082058840;Adrian;modelo test;Keynote;Ok;
2700;1646082058843;Adrian;modelo test;Keynote;Sin rellenar;
2997;1646082058844;Adrian;modelo test;Keynote;Sin rellenar;
3005;1646082058844;Adrian;modelo test;Keynote;Sin rellenar;
3729;1646082058844;Adrian;modelo test;Keynote;Sin rellenar;
3052;1646082058843;Adrian;modelo test;Keynote;Ok;
3731;1646082058845;Adrian;modelo test;Keynote;Sin rellenar;
3732;1646082058846;Adrian;modelo test;Keynote;Sin rellenar;
3733;1646082058846;Adrian;modelo test;Keynote;Sin rellenar;
3791;1646082058847;Adrian;modelo test;Keynote;Sin rellenar;
3730;1646082058845;Adrian;modelo test;Keynote;Sin rellenar;
4961;1646082058847;Adrian;modelo test;Keynote;Sin rellenar;
2557;1646082058848;Adrian;modelo test;Keynote;Sin rellenar;
2563;1646082058848;Adrian;modelo test;Keynote;Sin rellenar;
2568;1646082058849;Adrian;modelo test;Keynote;Sin rellenar;
3801;1646082058847;Adrian;modelo test;Keynote;Sin rellenar;
2570;1646082058850;Adrian;modelo test;Keynote;Sin rellenar;
2571;1646082058850;Adrian;modelo test;Keynote;Sin rellenar;
2572;1646082058851;Adrian;modelo test;Keynote;Sin rellenar;
2573;1646082058851;Adrian;modelo test;Keynote;Sin rellenar;
2569;1646082058849;Adrian;modelo test;Keynote;Sin rellenar;
2577;1646082058852;Adrian;modelo test;Keynote;Sin rellenar;
2578;1646082058852;Adrian;modelo test;Keynote;Sin rellenar;
2579;1646082058853;Adrian;modelo test;Keynote;Sin rellenar;
2580;1646082058853;Adrian;modelo test;Keynote;Sin rellenar;
2576;1646082058852;Adrian;modelo test;Keynote;Sin rellenar;
2582;1646082058854;Adrian;modelo test;Keynote;Sin rellenar;
2632;1646082058855;Adrian;modelo test;Keynote;Sin rellenar;
2633;1646082058855;Adrian;modelo test;Keynote;Sin rellenar;
2634;1646082058855;Adrian;modelo test;Keynote;Sin rellenar;
2581;1646082058854;Adrian;modelo test;Keynote;Sin rellenar;
2638;1646082058856;Adrian;modelo test;Keynote;Sin rellenar;
2640;1646082058879;Adrian;modelo test;Keynote;Sin rellenar;
2642;1646082058880;Adrian;modelo test;Keynote;Sin rellenar;
2643;1646082058881;Adrian;modelo test;Keynote;Sin rellenar;
2636;1646082058856;Adrian;modelo test;Keynote;Sin rellenar;
2645;1646082058881;Adrian;modelo test;Keynote;Sin rellenar;
2646;1646082058882;Adrian;modelo test;Keynote;Sin rellenar;
2647;1646082058882;Adrian;modelo test;Keynote;Sin rellenar;
2648;1646082058883;Adrian;modelo test;Keynote;Sin rellenar;
2644;1646082058881;Adrian;modelo test;Keynote;Sin rellenar;
2650;1646082058883;Adrian;modelo test;Keynote;Sin rellenar;
2651;1646082058886;Adrian;modelo test;Keynote;Sin rellenar;
2652;1646082058886;Adrian;modelo test;Keynote;Sin rellenar;
2653;1646082058887;Adrian;modelo test;Keynote;Sin rellenar;
2649;1646082058883;Adrian;modelo test;Keynote;Sin rellenar;
2655;1646082058887;Adrian;modelo test;Keynote;Sin rellenar;
2852;1646082058888;Adrian;modelo test;Keynote;Sin rellenar;
3264;1646082058888;Adrian;modelo test;Keynote;Sin rellenar;
3265;1646082058888;Adrian;modelo test;Keynote;Sin rellenar;
2654;1646082058887;Adrian;modelo test;Keynote;Sin rellenar;
3728;1646082058889;Adrian;modelo test;Keynote;Sin rellenar;
4037;1646082058890;Adrian;modelo test;Keynote;Sin rellenar;
4038;1646082058890;Adrian;modelo test;Keynote;Sin rellenar;
